Date	CONTRIBUTOR.csv	DETERMINED_BY.csv	INFERRED_TRAIT.csv	LIFESTAGE_TERM.csv	METADATA.csv	NORMAL_UNITS_TERM.csv	OBJECT_PAGE.csv	OBJECT_TERM.csv	PARENT.csv	PARENT_TERM.csv	PREDICATE.csv	PREDICATE_META_TERM.csv	SEX_TERM.csv	STATISTICAL_METHOD_TERM.csv	SUPPLIER.csv	SYNONYM_OF.csv	TRAIT.csv	UNITS_TERM.csv	VERNACULAR.csv	Metadata.csv	Page.csv	Resource.csv	Term.csv	Trait.csv	Vernacular.csv
2026-04-09 10:58:09 AM	0	0	0	0	0	0	0	64951	2474744	6785	64951	0	0	0	64951	552	64951	0	0	0	2482154	1102	11375	64951	0
2026-04-14 13:02:28 PM	0	0	0	0	0	0	0	64951	2474744	6785	64951	0	0	0	64951	552	64951	0	0	0	2482154	1102	11375	64951	0
2026-04-16 11:38:02 AM	0	0	0	0	0	0	0	64951	2474744	6785	64951	0	0	0	64951	552	64951	0	0	0	2482154	1102	11375	64951	0
2026-04-18 00:05:30 AM	0	0	0	0	0	0	0	64951	2474744	6787	64951	0	0	0	64951	557	64951	0	0	0	2482154	1102	11381	64951	0
2026-05-17 01:48:36 AM	0	0	0	0	0	0	0	64951	2474744	6787	64951	0	0	0	64951	557	64951	0	0	0	2482154	1102	11381	64951	0
2026-05-20 05:21:56 AM	0	0	0	0	0	0	0	64951	2474744	6787	64951	0	0	0	64951	557	64951	0	0	0	2482154	1102	11381	64951	0
2026-05-22 13:51:04 PM	0	0	0	0	0	0	0	64951	2474744	6787	64951	0	0	0	64951	557	64951	0	0	0	2482154	1102	11381	64951	0
2026-05-22 15:33:33 PM	0	0	0	0	0	0	0	64951	2474744	6787	64951	0	0	0	64951	557	64951	0	0	0	2482154	1102	11381	64951	0
2026-05-24 00:47:34 AM	0	0	0	0	0	0	0	64951	2474744	6787	64951	0	0	0	64951	557	64951	0	0	0	2482154	1102	11381	64951	0
2026-05-24 12:39:16 PM	0	0	0	0	0	0	0	64951	2474744	6787	64951	0	0	0	64951	557	64951	0	0	0	2482154	1102	11381	64951	0
2026-05-31 02:08:44 AM	0	0	0	0	0	0	0	64951	2474744	6787	64951	0	0	0	64951	557	64951	0	0	0	2482154	1102	11381	64951	0
2026-06-01 10:43:21 AM	0	0	0	0	0	0	0	64951	2474744	6787	64951	0	0	0	64951	557	64951	0	0	0	2482154	1102	11381	64951	0
2026-06-05 15:48:37 PM	0	0	0	0	0	0	0	64951	2474744	6787	64951	0	0	0	64951	557	64951	0	0	0	2482154	1102	11381	64951	0
