Date	CONTRIBUTOR.csv	DETERMINED_BY.csv	INFERRED_TRAIT.csv	LIFESTAGE_TERM.csv	METADATA.csv	NORMAL_UNITS_TERM.csv	OBJECT_PAGE.csv	OBJECT_TERM.csv	PARENT.csv	PARENT_TERM.csv	PREDICATE.csv	PREDICATE_META_TERM.csv	SEX_TERM.csv	STATISTICAL_METHOD_TERM.csv	SUPPLIER.csv	SYNONYM_OF.csv	TRAIT.csv	UNITS_TERM.csv	VERNACULAR.csv	Metadata.csv	Page.csv	Resource.csv	Term.csv	Trait.csv	Vernacular.csv
2026-05-17 01:48:36 AM	160996	0	0	35025	67709	62880	0	94167	2474744	6788	160996	67709	36443	34575	160996	557	160996	59450	184091	67709	2482154	1102	11382	160996	184077
2026-05-20 05:21:56 AM	160996	0	0	35025	67709	62880	0	94167	2474744	6788	160996	67709	36443	34575	160996	557	160996	59450	184091	67709	2482154	1102	11382	160996	184077
2026-05-22 13:51:04 PM	160996	0	0	35025	67709	62880	0	94167	2474744	6788	160996	67709	36443	34575	160996	557	160996	59450	184091	67709	2482154	1102	11382	160996	184077
2026-05-22 15:33:33 PM	160996	0	0	35025	67709	62880	0	94167	2474744	6788	160996	67709	36443	34575	160996	557	160996	59450	184091	67709	2482154	1102	11382	160996	184077
2026-05-24 00:47:34 AM	160996	0	0	35025	67709	62880	0	94167	2474744	6788	160996	67709	36443	34575	160996	557	160996	59450	184091	67709	2482154	1102	11382	160996	184077
2026-05-24 12:39:16 PM	160996	0	0	35025	67709	62880	0	94167	2474744	6788	160996	67709	36443	34575	160996	557	160996	59450	184091	67709	2482154	1102	11382	160996	184077
2026-05-31 02:08:44 AM	160996	0	0	35025	67709	62880	0	94167	2474744	6788	160996	67709	36443	34575	160996	557	160996	59450	184091	67709	2482154	1102	11382	160996	184077
2026-06-01 10:43:21 AM	160996	0	0	35025	67709	62880	0	94167	2474744	6788	160996	67709	36443	34575	160996	557	160996	59450	184091	67709	2482154	1102	11382	160996	184077
2026-06-05 15:48:37 PM	160996	0	0	35025	67709	62880	0	94167	2474744	6788	160996	67709	36443	34575	160996	557	160996	59450	184091	67709	2482154	1102	11382	160996	184077
2026-08-13 22:20:44 PM	159088	0	0	34611	66916	62178	0	93040	2474744	6788	159088	66916	36012	34171	159088	557	159088	58787	181519	66916	2482154	1102	11386	159088	181516
2026-08-17 05:28:49 AM	159088	0	0	34611	66916	62178	0	93040	2474744	0	159088	66916	36012	34171	159088	0	159088	58787	181516	66916	2482154	1102	11368	159088	181516
