Date	CONTRIBUTOR.csv	DETERMINED_BY.csv	INFERRED_TRAIT.csv	LIFESTAGE_TERM.csv	METADATA.csv	NORMAL_UNITS_TERM.csv	OBJECT_PAGE.csv	OBJECT_TERM.csv	PARENT.csv	PARENT_TERM.csv	PREDICATE.csv	PREDICATE_META_TERM.csv	SEX_TERM.csv	STATISTICAL_METHOD_TERM.csv	SUPPLIER.csv	SYNONYM_OF.csv	TRAIT.csv	UNITS_TERM.csv	VERNACULAR.csv	Metadata.csv	Page.csv	Resource.csv	Term.csv	Trait.csv	Vernacular.csv
2026-04-07 07:18:44 AM	0	0	0	6	20841	20653	0	182	2474744	6785	20841	20841	0	20165	20841	552	20841	20653	0	20841	2482154	1102	11375	20841	0
2026-04-08 13:35:54 PM	0	0	0	6	20841	20653	0	182	2474744	6785	20841	20841	0	20165	20841	552	20841	20653	0	20841	2482154	1102	11375	20841	0
2026-04-09 08:52:36 AM	0	0	0	6	20841	20653	0	182	2474744	6785	20841	20841	0	20165	20841	552	20841	20653	0	20841	2482154	1102	11375	20841	0
2026-04-09 10:58:09 AM	0	0	0	6	20841	20653	0	182	2474744	6785	20841	20841	0	20165	20841	552	20841	20653	0	20841	2482154	1102	11375	20841	0
2026-04-14 13:02:28 PM	0	0	0	6	20841	20653	0	182	2474744	6785	20841	20841	0	20165	20841	552	20841	20653	0	20841	2482154	1102	11375	20841	0
2026-04-16 11:38:02 AM	0	0	0	6	20841	20653	0	182	2474744	6785	20841	20841	0	20165	20841	552	20841	20653	0	20841	2482154	1102	11375	20841	0
2026-04-18 00:05:30 AM	0	0	0	6	20841	20653	0	182	2474744	6785	20841	20841	0	20165	20841	552	20841	20653	0	20841	2482154	1102	11375	20841	0
2026-05-17 01:48:36 AM	0	0	0	6	20841	20653	0	182	2474744	6785	20841	20841	0	20165	20841	552	20841	20653	0	20841	2482154	1102	11375	20841	0
2026-05-20 05:21:56 AM	0	0	0	6	20841	20653	0	182	2474744	6785	20841	20841	0	20165	20841	552	20841	20653	0	20841	2482154	1102	11375	20841	0
2026-05-22 13:51:04 PM	0	0	0	6	20841	20653	0	182	2474744	6785	20841	20841	0	20165	20841	552	20841	20653	0	20841	2482154	1102	11375	20841	0
2026-05-22 15:33:33 PM	0	0	0	6	20841	20653	0	182	2474744	6785	20841	20841	0	20165	20841	552	20841	20653	0	20841	2482154	1102	11375	20841	0
2026-05-24 00:47:34 AM	0	0	0	6	20841	20653	0	182	2474744	6785	20841	20841	0	20165	20841	552	20841	20653	0	20841	2482154	1102	11375	20841	0
2026-05-24 12:39:16 PM	0	0	0	6	20841	20653	0	182	2474744	6785	20841	20841	0	20165	20841	552	20841	20653	0	20841	2482154	1102	11375	20841	0
2026-05-31 02:08:44 AM	0	0	0	6	20841	20653	0	182	2474744	6785	20841	20841	0	20165	20841	552	20841	20653	0	20841	2482154	1102	11375	20841	0
2026-06-01 10:43:21 AM	0	0	0	6	20841	20653	0	182	2474744	6785	20841	20841	0	20165	20841	552	20841	20653	0	20841	2482154	1102	11375	20841	0
2026-06-05 15:48:37 PM	0	0	0	6	20841	20653	0	182	2474744	6785	20841	20841	0	20165	20841	552	20841	20653	0	20841	2482154	1102	11375	20841	0
2026-08-13 22:20:44 PM	0	0	0	1020	29551	24792	0	4220	2474744	6788	29551	29551	0	24276	29551	557	29551	24792	0	29551	2482154	1102	11386	29551	0
2026-08-17 05:28:49 AM	0	0	0	1020	29551	24792	0	4220	2474744	0	29551	29551	0	24276	29551	0	29551	24792	0	29551	2482154	1102	11368	29551	0
2026-08-18 01:37:47 AM	0	0	0	1020	29551	24792	0	4220	2474744	6788	29551	29551	0	24276	29551	557	29551	24792	0	29551	2482154	1102	11386	29551	0
2026-08-23 03:06:20 AM	0	0	0	1020	29551	24792	0	4220	2474744	6788	29551	29551	0	24276	29551	557	29551	24792	0	29551	2482154	1102	11386	29551	0
2026-08-23 20:17:14 PM	0	0	0	1020	29551	24792	0	4220	2474744	6788	29551	29551	0	24276	29551	557	29551	24792	0	29551	2482154	1102	11386	29551	0
2026-08-26 11:40:36 AM	0	0	0	1020	29551	24792	0	4220	2474744	6788	29551	29551	0	24276	29551	557	29551	24792	0	29551	2482154	1102	11386	29551	0
2026-08-27 04:13:21 AM	0	0	0	1020	29551	24792	0	4220	2474744	6788	29551	29551	0	24276	29551	557	29551	24792	0	29551	2482154	1102	11386	29551	0
2026-08-27 11:00:12 AM	0	0	0	1020	29551	24792	0	4220	2474744	6788	29551	29551	0	24276	29551	557	29551	24792	0	29551	2482154	1102	11386	29551	0
2026-08-27 21:23:08 PM	0	0	0	1020	29551	24792	0	4220	2474744	6788	29551	29551	0	24276	29551	557	29551	24792	0	29551	2482154	1102	11386	29551	0
2026-08-30 02:10:00 AM	0	0	0	1020	29551	24792	0	4220	2474744	6788	29551	29551	0	24276	29551	557	29551	24792	0	29551	2482154	1102	11386	29551	0
