Date	CONTRIBUTOR.csv	DETERMINED_BY.csv	INFERRED_TRAIT.csv	LIFESTAGE_TERM.csv	METADATA.csv	NORMAL_UNITS_TERM.csv	OBJECT_PAGE.csv	OBJECT_TERM.csv	PARENT.csv	PARENT_TERM.csv	PREDICATE.csv	PREDICATE_META_TERM.csv	SEX_TERM.csv	STATISTICAL_METHOD_TERM.csv	SUPPLIER.csv	SYNONYM_OF.csv	TRAIT.csv	UNITS_TERM.csv	VERNACULAR.csv	Metadata.csv	Page.csv	Resource.csv	Term.csv	Trait.csv	Vernacular.csv
2026-05-31 02:08:44 AM	0	0	6442	0	0	0	18	6442	2474744	6788	6460	0	0	0	6460	557	18	0	0	0	2482154	1102	11386	6460	0
2026-06-01 10:43:21 AM	0	0	6442	0	0	0	18	6442	2474744	6788	6460	0	0	0	6460	557	18	0	0	0	2482154	1102	11386	6460	0
2026-06-05 15:48:37 PM	0	0	6442	0	0	0	18	6442	2474744	6788	6460	0	0	0	6460	557	18	0	0	0	2482154	1102	11386	6460	0
2026-08-13 22:20:44 PM	0	0	2870	0	0	0	4	2870	2474744	6788	2874	0	0	0	2874	557	4	0	0	0	2482154	1102	11386	2874	0
2026-08-17 05:28:49 AM	0	0	2870	0	0	0	4	2870	2474744	0	2874	0	0	0	2874	0	4	0	0	0	2482154	1102	11368	2874	0
2026-08-18 01:37:47 AM	0	0	2870	0	0	0	4	2870	2474744	6788	2874	0	0	0	2874	557	4	0	0	0	2482154	1102	11386	2874	0
2026-08-23 03:06:20 AM	0	0	2870	0	0	0	4	2870	2474744	6788	2874	0	0	0	2874	557	4	0	0	0	2482154	1102	11386	2874	0
2026-08-23 20:17:14 PM	0	0	2870	0	0	0	4	2870	2474744	6788	2874	0	0	0	2874	557	4	0	0	0	2482154	1102	11386	2874	0
2026-08-26 11:40:36 AM	0	0	2870	0	0	0	4	2870	2474744	6788	2874	0	0	0	2874	557	4	0	0	0	2482154	1102	11386	2874	0
2026-08-27 04:13:21 AM	0	0	2870	0	0	0	4	2870	2474744	6788	2874	0	0	0	2874	557	4	0	0	0	2482154	1102	11386	2874	0
2026-08-27 11:00:12 AM	0	0	2870	0	0	0	4	2870	2474744	6788	2874	0	0	0	2874	557	4	0	0	0	2482154	1102	11386	2874	0
2026-08-27 21:23:08 PM	0	0	2870	0	0	0	4	2870	2474744	6788	2874	0	0	0	2874	557	4	0	0	0	2482154	1102	11386	2874	0
