Date	CONTRIBUTOR.csv	DETERMINED_BY.csv	INFERRED_TRAIT.csv	LIFESTAGE_TERM.csv	METADATA.csv	NORMAL_UNITS_TERM.csv	OBJECT_PAGE.csv	OBJECT_TERM.csv	PARENT.csv	PARENT_TERM.csv	PREDICATE.csv	PREDICATE_META_TERM.csv	SEX_TERM.csv	STATISTICAL_METHOD_TERM.csv	SUPPLIER.csv	SYNONYM_OF.csv	TRAIT.csv	UNITS_TERM.csv	VERNACULAR.csv	Metadata.csv	Page.csv	Resource.csv	Term.csv	Trait.csv	Vernacular.csv
2026-03-27 14:21:23 PM	2278	21628	204432	332012	2586630	99711	2586588	928079	2474744	6785	3613605	2586630	44309	0	3614380	552	3409948	99711	67610	2586630	2482154	1102	11370	3614380	67279
2026-03-30 11:44:11 AM	2278	21663	946842	332012	2586595	99711	2586588	1670489	2474744	6785	4356015	2586595	44309	0	4356790	552	3409948	99711	67610	2586595	2482154	1102	11370	4356790	67279
2026-03-30 14:26:52 PM	2278	21663	946842	332012	2586595	99711	2586588	1670489	2474744	6785	4356015	2586595	44309	0	4356790	552	3409948	99711	67610	2586595	2482154	1102	11375	4356790	67279
2026-04-01 10:29:56 AM	2278	21663	946842	332012	2855256	99711	2586588	2032710	2474744	6785	4718236	2855256	44309	0	4719011	552	3772169	99711	75756	2855256	2482154	1102	11375	4719011	75398
2026-04-02 11:35:18 AM	2278	21663	946842	332012	2855239	99711	2586588	2032710	2474744	6785	4718236	2855239	44309	0	4719011	552	3772169	99711	75756	2855239	2482154	1102	11375	4719011	75398
2026-04-07 07:18:44 AM	2278	21663	946842	332018	2845758	120364	2586588	2032892	2474744	6785	4739077	2845758	44309	20165	4739852	552	3793010	120364	75756	2845758	2482154	1102	11375	4739852	75398
2026-04-08 13:35:54 PM	2278	21663	957817	332018	2845758	120364	2586588	2043867	2474744	6785	4750052	2845758	44309	20165	4750827	552	3793010	120364	75756	2845758	2482154	1102	11375	4750827	75398
2026-04-09 08:52:36 AM	2278	21663	957817	332018	2845758	120364	2586588	2043867	2474744	6785	4750052	2845758	44309	20165	4750827	552	3793010	120364	75756	2845758	2482154	1102	11375	4750827	75398
2026-04-09 10:58:09 AM	2278	21663	957817	332018	2845758	120364	2586588	2108818	2474744	6785	4815003	2845758	44309	20165	4815778	552	3857961	120364	75756	2845758	2482154	1102	11375	4815778	75398
2026-04-14 13:02:28 PM	2278	21663	957817	332018	2845758	120364	2586588	2108818	2474744	6785	5498942	2845758	44309	20165	5499717	552	4541900	120364	75756	2845758	2482154	1102	11375	5499717	75398
2026-04-16 11:38:02 AM	2278	21729	957817	332528	2846529	120364	2586588	2108884	2474744	6785	5499008	2846529	44309	20165	5499783	552	4541966	120364	75756	2846529	2482154	1102	11375	5499783	75398
2026-04-18 00:05:30 AM	2278	21729	957817	332528	2846529	120364	2586588	2108884	2474744	6787	5499008	2846529	44309	20165	5499783	557	4541966	120364	75756	2846529	2482154	1102	11381	5499783	75398
2026-05-17 01:48:36 AM	163274	21729	957817	368033	2914238	183299	2586590	2204205	2474744	6787	5661215	2914238	80764	54740	5661990	557	4704173	179869	259998	2914238	2482154	1102	11381	5661990	259626
2026-05-20 05:21:56 AM	166395	21729	343505	368657	2933131	183930	2586590	1589966	2474744	6788	5047607	2933131	81045	55360	5048382	557	4704877	180500	261734	2933131	2482154	1102	11382	5048382	261362
2026-05-22 13:51:04 PM	166395	21729	386515	368657	2933131	206030	2589291	1632976	2474744	6788	5115418	2933131	81054	73796	5116193	557	4729678	202516	261734	2933131	2482154	1102	11382	5116193	261362
2026-05-22 15:33:33 PM	166395	21729	386636	368657	2933131	206030	2589291	1633097	2474744	6788	5115539	2933131	81054	73796	5116314	557	4729678	202516	261734	2933131	2482154	1102	11382	5116314	261362
2026-05-24 00:47:34 AM	166395	21729	386636	368657	2933131	206030	2589291	1633097	2474744	6788	5115539	2933131	81054	73796	5116314	557	4729678	202516	261734	2933131	2482154	1102	11382	5116314	261362
2026-05-24 12:39:16 PM	166395	21729	386636	368657	2933131	206030	2589291	1633097	2474744	6788	5115539	2933131	81054	73796	5116314	557	4729678	202516	261734	2933131	2482154	1102	11382	5116314	261362
2026-05-31 02:08:44 AM	166395	21729	393078	368657	2948976	206030	2605154	1639539	2474744	6788	5137844	2948976	81054	73796	5138619	557	4745541	202516	261734	2948976	2482154	1102	11386	5138619	261362
2026-06-01 10:43:21 AM	166395	21729	393078	368657	2948976	206030	2605154	1642231	2474744	6788	5140536	2948976	81054	73796	5141311	557	4748233	202516	261734	2948976	2482154	1102	11386	5141311	261362
