Zenodo_ID	Title | n=397
19533382	National Museum of Natural History Type Data: NMNH type specimens
19444906	Paleobiology Database (PBDB)
19082544	GBIF data summaries: GBIF national node type records: Sweden
19081948	GBIF data summaries: GBIF national node type records: Brazil
19081550	GBIF data summaries: GBIF national node type records: Netherlands
19081476	GBIF data summaries: GBIF national node type records: France
19081151	GBIF data summaries: GBIF national node type records: Germany
19027600	Global Biotic Interactions: GloBI, the associations resource
19027382	Antweb: AntWeb
19020835	Harvard Museum of Comparative Zoology
19011682	FishBase
18945513	USDA PLANTS structured data DwCA
18673514	WoRMS internal: World Register of Marine Species
18210682	Winston, 1986
18210677	Hernandez et al, 2009
18210671	Cheng et al, 2016
17974849	GBIF data summaries: GBIF national node type records: UK
17966270	Wikipedia: Wikipedia English - traits (inferred records)
17633934	Kubitzki et al
17553181	Coral Reef Fishes of Indonesia
17370587	Robertson & Tornabene, 2020
16986787	Rotifer World Catalog: Type data & habitat info
16981864	Polytraits
16933849	Animal Diversity Web: ADW Traits & image objects from Quaardvark Tool
16931434	TreatmentBank
16817406	Palm Traits 1.0
16817184	Lukas, D. and Clutton-Brock, T. 2014: Lukas and Clutton-Brock, 2014
16817057	McDaniel et al, 2012
15851109	Manconi and Pronzato, 2016
15851096	De Clippele et al, 2019
15851087	Jankowski, et al, 2007
15851081	Houlbrèque and Ferrier‐Pagès, 2009
15851072	Lewis, 1982
15851064	Fautin and Lowenstein, 1994
15851055	Guzman, 2018
15851037	Brafield, 1969
15843928	Brusca and Brusca, 2003
15594425	TRY database summary
15549295	AmphibiaWeb: AmphibiaWeb text w/traits based on Pensoft Annotator
15414954	Spreadsheet template for Xenacoelomorpha traits
15325019	marine ecology literature: marine ecology lit v5
15312111	Benedetti et al, 2015
15164488	Olenina et al, 2006
15092385	Spreadsheet template for Nematoda trophic traits (Hodda 2022)
15039847	Memoirs of the American Entomological Society
15020541	North American Flora: North American Flora - ALL
15003278	Smithsonian Contributions Series: Smithsonian Contributions to Botany
14947779	Rockwell et al 2014
14890088	Comparative Cytogenetics: Comparative Cytogenetics (554)
14890021	Deutsche Entomologische Zeitschrift: Deutsche Entomologische Zeitschrift (792)
14890011	Zoosystematics and Evolution: Zoosystematics and Evolution (834)
14890005	Nota Lepidopterologica: Nota Lepidopterologica (798)
14889857	Zookeys: ZooKeys (20) DwCA
14647411	Fungi ecomorphological trait data
14646717	Trophic guild data for fungi
13946150	DeLeo, Danielle et al. (2024)
13795618	Metrics: GBIF data coverage
13333278	O__Brien et al, 2013
13323186	eBird/Clements checklist of birds of the world: Version 6.9
13323130	Brose et al
13322693	Chen and Moles, 2015
13322681	White and Seymour, 2014
13322457	Shaw Nature Reserve - A division of the Missouri Botanical Garden: Lily Database
13322455	Female Passerine Singing Behavior from Odom et al. 2013: Odom et al, 2014
13322451	American Insects: American Insects- body length
13322441	Global Wood Density Database
13321957	Herring, 1987
13321623	Trophic guild data for microbial eukaryotes
13321483	Faubel and Kolasa, 1978
13320975	Shenkar et al, 2011
13320963	Salvini-Plawen and Mayr, 1977
13320961	Schack et al, 2020
13320957	GANS, 1975
13320953	Mineralogy v3
13320943	Arthropod Trophic Ecology Data
13320933	Habitat data for aquatic invertebrates
13320929	Invertebrate Phenology
13320925	Wolfgang Bettighofer Amoebozoa Trait Data
13320905	Habitat data for fungi
13320903	Insect Wings
13320897	Kawahara et al, 2019
13320893	Cellularity & Growth Form Data Version April 2023
13320867	Body Size Data for North American Orthopteroid Insects
13320603	literature body sizes, metazoa
13320601	Ax and Dörjes, 1966
13320589	Body Size Data for North American Spiders
13320583	Habitat data for microbial organisms
13320567	Microbe Ecomorphological Guilds
13320563	Saproxylic Organisms
13320553	Body Length Data for North American Syrphidae & Tabanidae
13320513	Body Size Data for North American Hemiptera
13320497	Body Length Data for North American Beetles
13320493	Kanzaki et al, 2017
13320491	NEWMAN AND CANNON, 1997
13320487	Massard and Geimer, 2008
13320485	Kaulfuss et al, 2013
13320475	Gastineau at al, 2022
13320467	Achatz et al, 2013
13320453	Desutter-Grandcolas, 1995
13320443	McDermott, 1964
13320437	Gwynne, 2001
13320435	Choe and Crespi, 1997
13320430	Fornoff et al, 2012
13320427	Martins et al, 2008
13320421	Saunders, 2002
13320415	Ankel-Simons 2008
13320389	Yamano et al 2000
13320383	Chan, 2010
13320381	Genikhovich and Technau, 2017
13320379	Cartwright, 2003
13320377	Elofsson, 1965
13320375	Hotchkiss, 2000
13320367	Starko, 2019
13320361	Dunn et al, 2015
13320355	Chia, 1966
13320349	Berking, 2007
13320345	Von Konrat et al, 2008
13320341	Herranz et al, 2021
13320339	Webb 2019
13320337	Queirós et al, 2013
13320335	Sorensen et al, 2008
13320333	Emig, 1985
13320329	Fuchs et al, 2010
13320313	Littlewood and Bray, 2000
13320311	Suzuki et al, 2010
13320309	Halanych, 1996
13320307	Cameron et al, 2000
