rank,id,doi,total_size_bytes,n_files,keywords,title,url
1,20195785,10.5281/zenodo.20195785,892104647,1,"traits, active","Global Biotic Interactions: GloBI, the associations resource",https://zenodo.org/records/20195785
2,13318062,10.5281/zenodo.13318062,326267433,1,"traits, active",Metrics: BHL data coverage,https://zenodo.org/records/13318062
3,17151085,10.5281/zenodo.17151085,232558642,1,"traits, active",GBIF data summaries: GBIF national node type records: UK,https://zenodo.org/records/17151085
4,13795618,10.5281/zenodo.13795618,190581721,1,"traits, active",Metrics: GBIF data coverage,https://zenodo.org/records/13795618
5,20133495,10.5281/zenodo.20133495,183730138,1,"traits, active",National Museum of Natural History Type Data: NMNH type specimens,https://zenodo.org/records/20133495
6,13313709,10.5281/zenodo.13313709,134579834,1,"traits, active",OBIS: OBIS environmental data records,https://zenodo.org/records/13313709
7,16931434,10.5281/zenodo.16931434,123335327,1,"traits, geography, active, textmining",TreatmentBank,https://zenodo.org/records/16931434
8,20059160,10.5281/zenodo.20059160,116048033,1,"traits, active",Paleobiology Database (PBDB),https://zenodo.org/records/20059160
9,19081476,10.5281/zenodo.19081476,99373480,1,"traits, active",GBIF data summaries: GBIF national node type records: France,https://zenodo.org/records/19081476
10,19081151,10.5281/zenodo.19081151,90098259,1,"traits, active",GBIF data summaries: GBIF national node type records: Germany,https://zenodo.org/records/19081151
11,19081948,10.5281/zenodo.19081948,76586744,1,"traits, active",GBIF data summaries: GBIF national node type records: Brazil,https://zenodo.org/records/19081948
12,13318042,10.5281/zenodo.13318042,63691865,1,"traits, active",Metrics: iNaturalist data coverage,https://zenodo.org/records/13318042
13,13318064,10.5281/zenodo.13318064,57204877,1,"traits, active",Metrics: NCBI data coverage,https://zenodo.org/records/13318064
14,19082544,10.5281/zenodo.19082544,48688303,1,"traits, active",GBIF data summaries: GBIF national node type records: Sweden,https://zenodo.org/records/19082544
15,13318058,10.5281/zenodo.13318058,42504919,1,"traits, active",Metrics: BOLDS data coverage,https://zenodo.org/records/13318058
16,19011682,10.5281/zenodo.19011682,37390981,1,"traits, descriptions, media, active, textmining",FishBase,https://zenodo.org/records/19011682
17,15594425,10.5281/zenodo.15594425,31956630,1,"traits, active",TRY database summary,https://zenodo.org/records/15594425
18,20646743,10.5281/zenodo.20646743,30874711,1,"traits, active",USDA PLANTS structured data DwCA,https://zenodo.org/records/20646743
19,20183510,10.5281/zenodo.20183510,29820715,1,"media, traits, active",Harvard Museum of Comparative Zoology,https://zenodo.org/records/20183510
20,19027382,10.5281/zenodo.19027382,26603463,2,"traits, geography, media, active, textmining",Antweb: AntWeb,https://zenodo.org/records/19027382
21,17966270,10.5281/zenodo.17966270,26310655,1,"traits, active, textmining",Wikipedia: Wikipedia English - traits (inferred records),https://zenodo.org/records/17966270
22,13318060,10.5281/zenodo.13318060,16317660,1,"traits, active",Metrics: GGBN data coverage,https://zenodo.org/records/13318060
23,15020541,10.5281/zenodo.15020541,16171505,1,"traits, geography, descriptions, active, textmining",North American Flora: North American Flora - ALL,https://zenodo.org/records/15020541
24,16933849,10.5281/zenodo.16933849,6510720,1,"traits, media, active, textmining",Animal Diversity Web: ADW Traits & image objects from Quaardvark Tool,https://zenodo.org/records/16933849
25,13315719,10.5281/zenodo.13315719,6480988,1,"traits, active","Plant forms, habitat and distribution: plant forms, habitat and distribution",https://zenodo.org/records/13315719
26,20367900,10.5281/zenodo.20367900,6415773,1,"media, descriptions, geography, active, traits, textmining",Zookeys: ZooKeys (20) DwCA,https://zenodo.org/records/20367900
27,13312751,10.5281/zenodo.13312751,6394477,1,"media, active, traits",Femorale,https://zenodo.org/records/13312751
28,19081550,10.5281/zenodo.19081550,4714928,1,"traits, active",GBIF data summaries: GBIF national node type records: Netherlands,https://zenodo.org/records/19081550
29,13312749,10.5281/zenodo.13312749,4672465,1,"traits, active",Shelled animal body mass,https://zenodo.org/records/13312749
30,15549295,10.5281/zenodo.15549295,4387728,1,"active, traits, textmining",AmphibiaWeb: AmphibiaWeb text w/traits based on Pensoft Annotator,https://zenodo.org/records/15549295
31,13313740,10.5281/zenodo.13313740,2978326,1,"traits, active",PanTHERIA,https://zenodo.org/records/13313740
32,16981864,10.5281/zenodo.16981864,2686160,1,"traits, active",Polytraits,https://zenodo.org/records/16981864
