Index	higherClassification
Plants	.*?\|Abditriletes\|.*?
Angiosperms	.*?\|Acanthaceae\|.*?
Protists	.*?\|Acanthamoeba\|.*?
Protists	.*?\|Acantharea\|.*?
Protists	.*?\|Acarpomyxa\|.*?
Fungi	.*?\|Acaulosporaceae\|.*?
Protists	.*?\|Acavomonidia\|.*?
Insecta	.*?\|Acercaria\|$
Angiosperms	.*?\|Achariaceae\|.*?
Angiosperms	.*?\|Achatocarpaceae\|.*?
Angiosperms	.*?\|Achillea\|.*?
Mollusca	.*?\|Achilleia\|.*?
Vertebrata	.*?\|Achoania\|.*?
Chlorophyta	.*?\|Achoma\|.*?
Angiosperms	.*?\|Achyranthes\|.*?
Annelida	.*?\|Aciculata\|.*?
Bacteria	.*?\|Acidobacteria\|.*?
Actinopterygii	.*?\|Acipenseriformes\|.*?
Flatworms	.*?\|Acoela\|.*?
Angiosperms	.*?\|Acoraceae\|.*?
Angiosperms	.*?\|Acorales\|.*?
Fungi	.*?\|Acremonites\|.*?
Life	.*?\|Acritarcha\|.*?
Bryophytes	.*?\|Acrobolbaceae\|.*?
Chlorophyta	.*?\|Acrosiphoniales\|.*?
Collembola	.*?\|Actaletidae\|.*?
Angiosperms	.*?\|Actinidiaceae\|.*?
Plants	.*?\|Actinidioxylon\|.*?
Bacteria	.*?\|Actinobacteria\|.*?
Bacteria	.*?\|Actinobacteriota\|.*?
Mollusca	.*?\|Actinoconus\|.*?
Protists	.*?\|Actinolophus\|.*?
Protists	.*?\|Actinomidae\|.*?
Protists	.*?\|Actinophryidae\|.*?
Actinopterygii	.*?\|Actinopteri\|.*?
Actinopterygii	.*?\|Actinopterygii\|.*?
Nematoda	.*?\|Acuariidae\|.*?
Plants	.*?\|Acylomurus\|.*?
Bryophytes	.*?\|Adelanthaceae\|.*?
Hemiptera	.*?\|Adelges\|.*?
Bryophytes	.*?\|Adelotheciaceae\|.*?
Angiosperms	.*?\|Adenanthera\|.*?
Nematoda	.*?\|Adenophorea\|.*?
Viruses	.*?\|Adenoviridae\|.*?
Viruses	.*?\|Adomaviridae\|.*?
Angiosperms	.*?\|Adoxaceae\|.*?
Insecta	.*?\|Aedoeophasma\|.*?
Angiosperms	.*?\|Aeginetia\|.*?
Angiosperms	.*?\|Aegopodium\|.*?
Insecta	.*?\|Aeolothrips\|.*?
Plants	.*?\|Aerorhizos\|.*?
Insecta	.*?\|Aetophlebiopsis\|.*?
Plants	.*?\|Afzelioxylon\|.*?
Tetrapoda	.*?\|Agamidae\|.*?
Fungi	.*?\|Agaricomycetidae\|.*?
Gymnosperms	.*?\|Agathopsis\|.*?
Angiosperms	.*?\|Agavaceae\|.*?
Plants	.*?\|Agavites\|.*?
Arachnida	.*?\|Agelenidae\|.*?
Angiosperms	.*?\|Ageratum\|.*?
Animals	.*?\|Agmata\|.*?
Diptera	.*?\|Agmatozoon\|.*?
Vertebrata	.*?\|Agnatha\|.*?
Plants	.*?\|Agnophyton\|.*?
Trilobita	.*?\|Agnostida\|.*?
Plants	.*?\|Agnotocaulon\|.*?
Angiosperms	.*?\|Agrimonia\|.*?
Lepidoptera	.*?\|Agrodiaetus\|.*?
Diptera	.*?\|Agromyzidae\|.*?
Angiosperms	.*?\|Agrostemma\|.*?
Angiosperms	.*?\|Agrostidium\|.*?
Angiosperms	.*?\|Agrostis\|.*?
Angiosperms	.*?\|Aizoaceae\|.*?
Angiosperms	.*?\|Aizoon\|.*?
Chlorophyta	.*?\|Ajakmalajsoria\|.*?
Angiosperms	.*?\|Ajuga\|.*?
Pteridophytes	.*?\|Akdalaphyton\|.*?
Crustacea	.*?\|Akentrogonida\|.*?
Plants	.*?\|Alatampulla\|.*?
Viruses	.*?\|Albetovirus\|.*?
Protists	.*?\|Albuginales\|.*?
Actinopterygii	.*?\|Albuliformes\|.*?
Angiosperms	.*?\|Alcea\|.*?
Angiosperms	.*?\|Alchemilla\|.*?
Mollusca	.*?\|Alcyonaria\|.*?
Plants	.*?\|Alcyonidiopsis\|.*?
Mollusca	.*?\|Aldanolina\|.*?
Plants	.*?\|Aldanophyton\|.*?
Lepidoptera	.*?\|Alesa\|.*?
Protists	.*?\|Algacites\|.*?
Bacteria	.*?\|Algae\|(.*?\|)?Cryptozoon\|.*?
Protists	.*?\|Algae\|(.*?\|)?Gilbertina\|.*?
Protists	.*?\|Algae\|(.*?\|)?Gyrodendron\|.*?
Protists	.*?\|Algae\|(.*?\|)?Halymenites\|.*?
Protists	.*?\|Algae\|(.*?\|)?Loperia\|.*?
Protists	.*?\|Algae\|(.*?\|)?Myelophycus\|.*?
Rhodophyta	.*?\|Algae\|(.*?\|)?Petrophyton\|.*?
Viruses	.*?\|Algavirales\|.*?
Mollusca	.*?\|Algomella\|.*?
Insecta	.*?\|Alienoptera\|.*?
Angiosperms	.*?\|Alismataceae\|.*?
Angiosperms	.*?\|Alismatales\|.*?
Angiosperms	.*?\|Alliaceae\|.*?
Angiosperms	.*?\|Allium\|.*?
Viruses	.*?\|Alloherpesviridae\|.*?
Pteridophytes	.*?\|Alloiopteris\|.*?
Crustacea	.*?\|Allotriocarida\|$
Arthropoda	.*?\|Almenia\|.*?
Angiosperms	.*?\|Aloaceae\|.*?
Angiosperms	.*?\|Aloe\|.*?
Angiosperms	.*?\|Aloites\|.*?
Crustacea	.*?\|Alphaeidae\|.*?
Viruses	.*?\|Alphasatellitidae\|.*?
Pteridophytes	.*?\|Alsophilina\|.*?
Angiosperms	.*?\|Alstroemeriaceae\|.*?
Viruses	.*?\|alsuviricetes\|.*?
Angiosperms	.*?\|Althaea\|.*?
Plants	.*?\|Altimonoletes\|.*?
Crustacea	.*?\|Altocrustacea\|$
Protists	.*?\|Alveida\|.*?
Protists	.*?\|Alveidea\|.*?
Ciliophora	.*?\|Alveolata\|(.*?\|)?Ciliophora\|.*?
Protists	.*?\|Alveolata\|$
Chlorophyta	.*?\|Alvikia\|.*?
Angiosperms	.*?\|Alyssum\|.*?
Plants	.*?\|Amadocarpus\|.*?
Pteridophytes	.*?\|Amadokia\|.*?
Angiosperms	.*?\|Amaranthaceae\|.*?
Viruses	.*?\|Amarillovirales\|.*?
Angiosperms	.*?\|Amaryllidaceae\|.*?
Angiosperms	.*?\|Amaryllites\|.*?
Fungi	.*?\|Ambisporaceae\|.*?
Bryophytes	.*?\|Amblystegiaceae\|.*?
Animals	.*?\|Ambulacraria\|$
Mollusca	.*?\|Americana\|.*?
Angiosperms	.*?\|Amethystea\|.*?
Mollusca	.*?\|Amethystina\|.*?
Rhodophyta	.*?\|Amgaina\|.*?
Bacteria	.*?\|Amganella\|.*?
Actinopterygii	.*?\|Amiiformes\|.*?
Plants	.*?\|Ammatophyllum\|.*?
Angiosperms	.*?\|Ammi\|.*?
Protists	.*?\|Ammophilia\|.*?
Protists	.*?\|Amoeba\|.*?
Protists	.*?\|Amoebosporus\|.*?
Protists	.*?\|Amoebozoa\|.*?
Angiosperms	.*?\|Ampelidaceae\|.*?
Insecta	.*?\|Ampelipteridae\|.*?
Plants	.*?\|Ampelophyllites\|.*?
Angiosperms	.*?\|Ampeloxylon\|.*?
Tetrapoda	.*?\|Amphibia\|(.*?\|)?Anura\|.*?
Insecta	.*?\|Amphiesmenoptera\|$
Trichoptera	.*?\|Amphiesmenoptera\|Trichoptera\|.*?
Fungi	.*?\|Amphisphaeriaceae\|.*?
Angiosperms	.*?\|Amphitoa\|.*?
Plants	.*?\|Amphitoites\|.*?
Viruses	.*?\|Ampullaviridae\|.*?
Plants	.*?\|Amyoxylon\|.*?
Plants	.*?\|Anabacaulus\|.*?
Angiosperms	.*?\|Anacardiaceae\|.*?
Pteridophytes	.*?\|Anachoropteris\|.*?
Angiosperms	.*?\|Anacyclus\|.*?
Angiosperms	.*?\|Anagallis\|.*?
Angiosperms	.*?\|Anagyris\|.*?
Pteridophytes	.*?\|Anarthrocanna\|.*?
Insecta	.*?\|Anartioptera\|$
Vertebrata	.*?\|Anaspidomorphi\|.*?
Angiosperms	.*?\|Anastatica\|.*?
Tetrapoda	.*?\|Anatidae\|.*?
Angiosperms	.*?\|Anchusa\|.*?
Lepidoptera	.*?\|Ancyluris\|.*?
Protists	.*?\|Ancyromonadida\|.*?
Arthropoda	.*?\|Anderella\|.*?
Bryophytes	.*?\|Andreaeaceae\|.*?
Bryophytes	.*?\|Andreaeobryopsida\|.*?
Bryophytes	.*?\|Andreaeopsida\|.*?
Actinopterygii	.*?\|Andreolepis\|.*?
Pteridophytes	.*?\|Andriania\|.*?
Plants	.*?\|Androphyllum\|.*?
Angiosperms	.*?\|Androsace\|.*?
Angiosperms	.*?\|Andryala\|.*?
Insecta	.*?\|Anebos\|.*?
Viruses	.*?\|Anelloviridae\|.*?
Pteridophytes	.*?\|Anemiaceae\|.*?
Angiosperms	.*?\|Anethum\|.*?
Bryophytes	.*?\|Aneuraceae\|.*?
Plants	.*?\|Aneurophytophyta\|.*?
Plants	.*?\|Angarolaminariopsis\|.*?
Pteridophytes	.*?\|Angarophloios\|.*?
Plants	.*?\|Angiodendron\|.*?
Angiosperms	.*?\|Angiosperms\|.*?
Angiosperms	.*?\|Angiosperms\|(.*?\|)?Punica\|.*?
Actinopterygii	.*?\|Anguilliformes\|.*?
Mollusca	.*?\|Angulata\|.*?
Tetrapoda	.*?\|Animalia\|(.*?\|)?Acanthion\|.*?
Protists	.*?\|Animalia\|(.*?\|)?Actinosphaera\|.*?
Diptera	.*?\|Animalia\|(.*?\|)?Aspilia\|.*?
Hymenoptera	.*?\|Animalia\|(.*?\|)?Australia\|.*?
Arachnida	.*?\|Animalia\|(.*?\|)?Bellonia\|.*?
Protists	.*?\|Animalia\|(.*?\|)?Caryospora\|.*?
Actinopterygii	.*?\|Animalia\|(.*?\|)?Catastoma\|.*?
Tetrapoda	.*?\|Animalia\|(.*?\|)?Centrocercus\|.*?
Tetrapoda	.*?\|Animalia\|(.*?\|)?Cobra\|.*?
Animals	.*?\|Animalia\|(.*?\|)?Derris\|.*?
Insecta	.*?\|Animalia\|(.*?\|)?Dicliptera\|.*?
Diptera	.*?\|Animalia\|(.*?\|)?Diptera\|.*?
Insecta	.*?\|Animalia\|(.*?\|)?Eurytaenia\|.*?
Animals	.*?\|Animalia\|(.*?\|)?Gastrotricha\|.*?
Animals	.*?\|Animalia\|(.*?\|)?Grossularia\|.*?
Mollusca	.*?\|Animalia\|(.*?\|)?Helicteres\|.*?
Mollusca	.*?\|Animalia\|(.*?\|)?Heliopsis\|.*?
Crustacea	.*?\|Animalia\|(.*?\|)?Itea\|.*?
Insecta	.*?\|Animalia\|(.*?\|)?Notoptera\|.*?
Annelida	.*?\|Animalia\|(.*?\|)?Oligochaeta\|.*?
Animals	.*?\|Animalia\|(.*?\|)?Onychophora\|.*?
Crustacea	.*?\|Animalia\|(.*?\|)?Orthocarpus\|.*?
Bivalvia	.*?\|Animalia\|(.*?\|)?Ortonella\|.*?
Mollusca	.*?\|Animalia\|(.*?\|)?Peltella\|.*?
Insecta	.*?\|Animalia\|(.*?\|)?Pterygota\|$
Mollusca	.*?\|Animalia\|(.*?\|)?Punica\|.*?
Brachiopoda	.*?\|Animalia\|(.*?\|)?Retaria\|.*?
Mollusca	.*?\|Animalia\|(.*?\|)?Rotala\|.*?
Insecta	.*?\|Animalia\|(.*?\|)?Siphonaptera\|.*?
Porifera	.*?\|Animalia\|(.*?\|)?Sycophyllum\|.*?
Crustacea	.*?\|Animalia\|(.*?\|)?Trochiscia\|.*?
Tunicata	.*?\|Animalia\|(.*?\|)?Tunicata\|.*?
Vertebrata	.*?\|Animalia\|(.*?\|)?Vertebrata\|$
Animals	.*?\|Animalia\|$
Animals	.*?\|Animalia\|Acanthocephala\|.*?
Crustacea	.*?\|Animalia\|Balanomorpha\|.*?
Animals	.*?\|Animalia\|Chaetognatha\|.*?
Animals	.*?\|Animalia\|Ctenophora\|.*?
Animals	.*?\|Animalia\|Gnathifera\|.*?
Animals	.*?\|Animals\|(.*?\|)?Spiralia\|$
Animals	.*?\|Animals\|$
Angiosperms	.*?\|Anisophylleaceae\|.*?
Diptera	.*?\|Anisopodidae\|.*?
Coleoptera	.*?\|Anisotarsus\|.*?
Chlorophyta	.*?\|Ankistrodesmus\|.*?
Annelida	.*?\|Annelida\|.*?
Angiosperms	.*?\|Annonaceae\|.*?
Plants	.*?\|Annonoxylon\|.*?
Tetrapoda	.*?\|Anolidae\|.*?
Bryophytes	.*?\|Anomodontaceae\|.*?
Hymenoptera	.*?\|Anteon\|.*?
